x,Ábaco
0,0
1.2846,0.1708
2.2777,0.6535
3.096,1.2243
4.0233,2.1292
4.7823,3.059
5.5479,4.1267
6.2343,5.2745
6.8943,6.5601
7.4224,7.6611
7.9901,8.9576
8.6237,10.4443
9.165,11.758
9.6601,13.1749
10.1354,14.6261
10.5513,15.9276
10.9276,17.1599
11.2775,18.3345
11.5746,19.4054
11.9906,20.7644
12.3075,21.9733
12.73,23.3093
12.9479,24.2705
13.3638,25.7272
13.7071,26.9766
14.0504,28.3351
14.3608,29.5958
14.6975,30.9025
14.988,32.1228
15.437,34.0798
15.853,35.9274
16.1897,37.5331
16.4869,39.0581
16.8237,40.6408
17.1076,42.1542
17.385,43.6273
17.6888,45.4685
17.9001,46.7746
18.0587,48
