x,Ábaco 3
0,0.21437
0.012203,0.213797
0.023147,0.213221
0.033426,0.212819
0.041643,0.212483
0.050691,0.211764
0.059304,0.211061
0.068106,0.210105
0.07456,0.209455
0.079883,0.208759
0.087972,0.207714
0.096151,0.206186
0.102329,0.205085
0.107293,0.203926
0.112468,0.202768
0.116956,0.20172
0.123504,0.199953
0.12852,0.198405
0.135068,0.196138
0.139926,0.194423
0.143675,0.19304
0.148164,0.191158
0.153708,0.189
0.158936,0.186619
0.164428,0.18385
0.170289,0.180747
0.175992,0.177812
0.181378,0.174375
0.186295,0.171491
0.190486,0.168719
0.194342,0.166034
0.197527,0.16379
0.2,0.162162
