x,R1,R2
0,0.44403,0.218154
0.000106,0.444112,0.218206
0.004306,0.449976,0.222127
0.004915,0.450798,0.222719
0.009131,0.456308,0.226962
0.010677,0.458274,0.22855
0.014152,0.462659,0.232118
0.016808,0.465978,0.234797
0.020045,0.469653,0.237997
0.02352,0.47282,0.241461
0.026139,0.47499,0.244164
0.030253,0.478533,0.24846
0.032831,0.480678,0.251108
0.037426,0.48392,0.255842
0.038392,0.484531,0.256864
0.043383,0.487459,0.262232
0.044152,0.487861,0.26304
0.050263,0.490665,0.269503
0.052486,0.491482,0.271991
0.058066,0.492851,0.278426
0.059618,0.49315,0.280214
0.064903,0.494335,0.286137
0.066078,0.494597,0.287389
0.069686,0.495273,0.291315
0.072497,0.495603,0.294779
0.07451,0.495707,0.297152
0.079083,0.495512,0.301797
0.079167,0.495502,0.30189
0.083613,0.49471,0.307507
0.085711,0.494211,0.309976
0.088647,0.493463,0.313235
0.09303,0.492183,0.318338
0.093178,0.492133,0.318522
0.097667,0.490221,0.324359
0.098225,0.489929,0.325079
0.101484,0.488102,0.329094
0.103285,0.486978,0.331227
0.105428,0.485466,0.33394
0.107348,0.484024,0.33672
0.109413,0.482524,0.339775
0.112142,0.480548,0.343542
0.114405,0.478845,0.346602
0.117803,0.476029,0.35136
0.118936,0.474971,0.352988
0.12273,0.470809,0.358413
0.123424,0.46994,0.359374
0.127192,0.464891,0.36452
0.128277,0.463423,0.366079
0.131654,0.458624,0.371406
0.1324,0.457457,0.372598
0.136311,0.450832,0.37847
0.136469,0.450554,0.378701
0.140222,0.443538,0.384387
0.140751,0.442399,0.385266
0.144133,0.434039,0.391182
0.144556,0.432995,0.391923
0.14815,0.424864,0.398116
0.148414,0.424284,0.398569
0.151057,0.418061,0.403329
0.151427,0.417108,0.404078
0.15407,0.410177,0.410177
0.156924,0.403124,inf
0.159725,0.396902,inf
0.162421,0.391371,inf
0.16649,0.383214,inf
0.170507,0.37658,inf
0.175264,0.368563,inf
0.178647,0.362757,inf
0.18314,0.357093,inf
0.188028,0.351421,inf
0.192474,0.34528,inf
0.196166,0.341114,inf
0.2,0.33673,inf
