x,Ábaco 2
0,1.8
0.006864,1.795071
0.012607,1.791257
0.019377,1.786928
0.026162,1.783417
0.031705,1.780967
0.036616,1.778515
0.040074,1.777123
0.045602,1.774901
0.051356,1.772586
0.057609,1.770062
0.063796,1.768242
0.071545,1.766496
0.077323,1.765626
0.081723,1.764925
0.087087,1.764138
0.092577,1.76335
0.098821,1.762742
0.106364,1.762493
0.11415,1.762345
0.121172,1.762249
0.127244,1.762374
0.134847,1.763175
0.142661,1.763864
0.151637,1.764444
0.157867,1.765577
0.165108,1.766212
0.17186,1.766862
0.180209,1.768221
0.188252,1.769899
0.194377,1.7712
0.2,1.772724
